Time;HTI893
15/04/2018  07:28:56;50.075
15/04/2018  08:24:56;50.539
15/04/2018  09:48:56;50.961
15/04/2018  10:20:56;51.274
15/04/2018  11:24:56;51.733
15/04/2018  13:24:56;51.926
15/04/2018  14:24:56;52.343
15/04/2018  15:10:56;52.812
15/04/2018  16:26:56;52.343
15/04/2018  18:24:56;52.233
15/04/2018  19:24:56;51.926
15/04/2018  19:34:56;50.852
15/04/2018  19:52:56;51.274
15/04/2018  20:24:56;51.769
15/04/2018  21:36:56;51.310
15/04/2018  22:16:56;51.003
15/04/2018  22:34:56;50.659
15/04/2018  23:04:56;50.268
15/04/2018  23:52:56;49.809
16/04/2018  01:50:56;49.538
16/04/2018  02:18:56;49.887
16/04/2018  04:18:56;49.392
16/04/2018  05:38:56;49.887
16/04/2018  06:02:56;50.346
16/04/2018  08:02:56;50.231
16/04/2018  09:50:56;50.617
16/04/2018  10:38:56;50.961
16/04/2018  11:26:56;51.425
16/04/2018  13:26:56;51.733
16/04/2018  14:22:56;52.197
16/04/2018  16:20:56;52.197
16/04/2018  16:34:56;51.806
16/04/2018  17:46:56;51.389
16/04/2018  18:48:56;51.039
16/04/2018  20:34:56;50.659
16/04/2018  21:02:56;51.117
16/04/2018  22:20:56;50.659
16/04/2018  22:40:56;50.195
16/04/2018  23:18:56;49.887
16/04/2018  23:34:56;50.231
16/04/2018  23:58:56;49.929
17/04/2018  00:12:56;49.579
17/04/2018  00:36:56;49.121
17/04/2018  01:14:56;48.698
17/04/2018  01:56:56;48.234
17/04/2018  02:08:56;47.583
17/04/2018  02:18:56;45.737
17/04/2018  02:32:56;44.204
17/04/2018  02:44:56;44.361
17/04/2018  02:50:56;45.013
17/04/2018  03:20:56;46.811
17/04/2018  03:36:56;47.275
17/04/2018  04:04:56;48.506
17/04/2018  05:56:56;48.964
17/04/2018  06:52:56;48.506
17/04/2018  07:36:56;48.156
17/04/2018  08:26:56;47.734
17/04/2018  10:26:56;48.047
17/04/2018  11:04:56;48.506
17/04/2018  11:34:56;48.964
17/04/2018  12:16:56;49.345
17/04/2018  12:46:56;49.694
17/04/2018  13:18:56;50.153
17/04/2018  13:48:56;50.617
17/04/2018  14:02:56;51.274
17/04/2018  15:04:56;51.733
17/04/2018  15:58:56;52.197
17/04/2018  17:58:56;52.040
17/04/2018  18:16:56;51.581
17/04/2018  20:16:56;51.310
17/04/2018  22:14:56;51.154
17/04/2018  22:40:56;50.695
17/04/2018  22:54:56;50.075
17/04/2018  23:28:56;49.616
17/04/2018  23:50:56;49.121
18/04/2018  01:48:56;48.964
18/04/2018  02:22:56;48.506
18/04/2018  04:20:56;48.850
18/04/2018  05:42:56;48.506
18/04/2018  06:22:56;48.964
18/04/2018  08:22:56;49.121
