
Time;HTI889I
14/04/2019  10:25:03;59.094
14/04/2019  10:35:03;58.938
14/04/2019  11:27:03;59.287
14/04/2019  11:57:03;59.287
14/04/2019  11:59:03;58.786
14/04/2019  13:47:03;58.823
14/04/2019  14:31:03;59.130
14/04/2019  16:31:03;59.094
14/04/2019  18:31:03;58.823
14/04/2019  18:53:03;59.016
14/04/2019  20:19:03;59.094
14/04/2019  20:21:03;58.474
14/04/2019  22:09:03;58.515
14/04/2019  22:11:03;57.900
14/04/2019  22:13:03;58.474
14/04/2019  23:27:03;58.057
15/04/2019  00:33:03;57.900
15/04/2019  01:43:03;57.853
15/04/2019  01:59:03;57.853
15/04/2019  02:01:03;57.243
15/04/2019  02:13:03;57.394
15/04/2019  02:25:03;57.436
15/04/2019  02:49:03;57.551
15/04/2019  04:47:03;57.822
15/04/2019  06:45:03;57.551
15/04/2019  08:07:03;57.587
15/04/2019  08:19:03;57.744
15/04/2019  08:47:03;57.744
15/04/2019  08:49:03;58.359
15/04/2019  09:07:03;58.328
15/04/2019  09:11:03;58.166
15/04/2019  11:01:03;58.359
15/04/2019  11:23:03;58.786
15/04/2019  12:01:03;58.666
15/04/2019  12:03:03;59.329
15/04/2019  12:21:03;59.250
15/04/2019  14:13:03;59.329
15/04/2019  15:07:03;59.600
15/04/2019  17:07:03;59.443
15/04/2019  18:41:03;59.287
15/04/2019  20:29:03;59.130
15/04/2019  21:39:03;58.979
15/04/2019  22:53:03;59.016
15/04/2019  22:55:03;58.395
15/04/2019  22:59:03;58.515
16/04/2019  00:57:03;58.552
16/04/2019  02:55:03;58.359
16/04/2019  03:19:03;58.359
16/04/2019  03:21:03;59.016
16/04/2019  03:47:03;58.979
16/04/2019  03:51:03;58.979
16/04/2019  03:53:03;58.359
16/04/2019  03:55:03;58.979
16/04/2019  04:33:03;58.979
16/04/2019  04:35:03;58.359
16/04/2019  04:39:03;58.359
16/04/2019  04:41:03;58.979
16/04/2019  04:43:03;58.395
16/04/2019  04:45:03;59.016
16/04/2019  04:51:03;58.395
16/04/2019  04:53:03;59.016
16/04/2019  04:59:03;58.515
16/04/2019  05:53:03;58.666
16/04/2019  06:19:03;59.130
16/04/2019  07:55:03;59.443
16/04/2019  08:59:03;59.902
16/04/2019  10:59:03;60.173
16/04/2019  12:57:03;60.251
16/04/2019  12:59:03;59.636
16/04/2019  13:13:03;59.746
16/04/2019  13:29:03;60.064
16/04/2019  15:27:03;60.251
16/04/2019  17:19:03;60.173
16/04/2019  19:15:03;60.095
16/04/2019  19:57:03;59.902
16/04/2019  20:31:03;59.746
16/04/2019  21:05:03;59.600
16/04/2019  21:35:03;59.443
16/04/2019  23:13:03;59.329
