
Time;HVI878Y
08/06/2018  19:28:20;6.497
08/06/2018  21:28:18;6.620
08/06/2018  23:28:16;6.562
09/06/2018  01:28:14;6.657
09/06/2018  03:28:12;6.570
09/06/2018  05:28:10;6.685
09/06/2018  07:28:08;6.819
09/06/2018  09:28:06;6.659
09/06/2018  11:28:04;6.652
09/06/2018  13:28:02;6.570
09/06/2018  15:28:00;6.576
09/06/2018  17:27:58;6.375
09/06/2018  19:27:56;6.318
09/06/2018  21:27:54;6.587
09/06/2018  23:27:52;6.528
10/06/2018  01:27:50;6.652
10/06/2018  03:27:48;6.620
10/06/2018  05:27:46;6.683
10/06/2018  07:27:44;6.797
10/06/2018  09:27:42;6.602
10/06/2018  11:27:40;6.522
10/06/2018  13:27:38;6.522
10/06/2018  15:27:36;6.578
10/06/2018  17:27:34;6.440
10/06/2018  19:27:32;6.668
10/06/2018  21:27:30;6.545
10/06/2018  23:27:28;6.505
11/06/2018  01:27:26;6.722
11/06/2018  03:27:24;6.771
11/06/2018  05:27:22;6.884
11/06/2018  07:27:20;6.609
11/06/2018  09:27:18;6.659
11/06/2018  11:27:16;6.675
11/06/2018  13:27:14;6.539
11/06/2018  15:27:12;6.506
11/06/2018  17:27:10;6.633
11/06/2018  19:27:08;6.618
11/06/2018  21:27:06;6.634
11/06/2018  23:27:04;6.803
12/06/2018  01:27:02;6.738
12/06/2018  03:27:00;6.717
12/06/2018  05:26:58;6.912
12/06/2018  07:26:56;6.878
12/06/2018  09:26:54;6.755
12/06/2018  11:26:52;6.976
12/06/2018  13:26:50;6.636
12/06/2018  15:26:48;6.716
12/06/2018  17:26:46;6.643
12/06/2018  19:26:44;6.780
12/06/2018  21:26:42;6.749
12/06/2018  23:26:40;6.782
13/06/2018  01:26:38;6.853
13/06/2018  03:26:36;6.845
13/06/2018  05:26:34;6.926
13/06/2018  07:26:32;6.983
13/06/2018  09:26:30;6.845
13/06/2018  11:26:28;6.853
13/06/2018  13:26:26;6.836
13/06/2018  15:26:24;6.813
13/06/2018  17:26:22;6.900
13/06/2018  19:26:20;6.738
13/06/2018  21:26:18;7.024
13/06/2018  23:26:16;6.976
14/06/2018  01:26:14;6.912
14/06/2018  03:26:12;7.063
14/06/2018  05:26:10;7.032
14/06/2018  07:26:08;6.879
14/06/2018  09:26:06;6.771
14/06/2018  11:26:04;6.803
14/06/2018  13:26:02;6.790
14/06/2018  15:26:00;6.798
14/06/2018  17:25:58;6.789
14/06/2018  19:25:56;6.912
14/06/2018  21:25:54;6.944
14/06/2018  23:25:52;7.030
15/06/2018  01:25:50;7.090
15/06/2018  02:27:51;6.402
15/06/2018  02:46:09;5.621
15/06/2018  04:46:07;5.522
15/06/2018  06:46:05;5.491
15/06/2018  08:46:03;5.355
15/06/2018  10:46:01;5.289
15/06/2018  12:45:59;5.306
15/06/2018  14:45:57;5.295
15/06/2018  16:45:55;5.550
15/06/2018  18:45:53;5.323
15/06/2018  20:45:51;5.313
15/06/2018  22:45:49;5.232
16/06/2018  00:45:47;5.337
16/06/2018  02:45:45;5.457
16/06/2018  04:45:43;5.506
16/06/2018  06:45:41;5.532
16/06/2018  08:45:39;5.404
16/06/2018  10:45:37;5.339
16/06/2018  12:45:35;5.344
16/06/2018  14:45:33;5.443
16/06/2018  16:45:31;5.355
16/06/2018  18:45:29;5.556
16/06/2018  20:45:27;5.501
16/06/2018  22:45:25;5.339
17/06/2018  00:45:23;5.371
17/06/2018  02:45:21;5.386
17/06/2018  04:45:19;5.467
17/06/2018  06:45:17;5.225
17/06/2018  08:45:15;5.160
17/06/2018  10:45:13;5.112
17/06/2018  12:45:11;5.182
17/06/2018  14:45:09;5.151
17/06/2018  16:45:07;5.427
17/06/2018  18:45:05;5.166
17/06/2018  20:45:03;5.402
17/06/2018  22:45:01;5.216
18/06/2018  00:44:59;5.370
18/06/2018  02:44:57;5.240
18/06/2018  04:44:55;5.491
18/06/2018  06:44:53;5.360
18/06/2018  08:44:51;5.305
18/06/2018  10:44:49;5.085
18/06/2018  12:44:47;5.143
18/06/2018  14:44:45;5.323
18/06/2018  16:44:43;5.281
18/06/2018  18:44:41;5.068
18/06/2018  20:44:39;5.305
18/06/2018  22:44:37;5.135
19/06/2018  00:44:35;5.264
19/06/2018  02:44:33;5.337
19/06/2018  04:44:31;5.110
19/06/2018  06:44:29;5.167
19/06/2018  08:44:27;5.313
19/06/2018  10:44:25;5.086
19/06/2018  12:44:23;5.167
19/06/2018  14:44:21;5.289
19/06/2018  16:44:19;5.224
19/06/2018  18:44:17;5.362
19/06/2018  20:44:15;5.256
19/06/2018  22:44:13;5.387
20/06/2018  00:44:12;5.177
20/06/2018  02:44:09;5.193
20/06/2018  04:44:07;5.328
20/06/2018  06:44:05;5.305
20/06/2018  08:44:03;5.128
20/06/2018  10:44:01;5.295
20/06/2018  12:43:59;5.258
20/06/2018  14:43:57;5.566
20/06/2018  16:43:55;5.564
20/06/2018  18:43:53;5.363
20/06/2018  20:43:51;5.452
20/06/2018  22:43:49;5.321
21/06/2018  00:43:47;5.540
21/06/2018  02:43:45;5.362
21/06/2018  04:43:43;5.469
21/06/2018  06:43:41;5.402
21/06/2018  08:43:39;5.166
21/06/2018  10:43:37;5.394
21/06/2018  12:43:35;5.230
21/06/2018  14:43:33;5.499
21/06/2018  16:43:31;5.378
21/06/2018  18:43:29;5.443
21/06/2018  20:43:27;5.550
21/06/2018  22:43:25;5.208
22/06/2018  00:43:23;5.323
22/06/2018  02:43:21;5.654
22/06/2018  04:43:19;5.354
22/06/2018  06:43:17;5.435
22/06/2018  08:43:15;5.256
22/06/2018  10:43:13;5.256
22/06/2018  12:43:11;5.272
22/06/2018  14:43:09;5.247
22/06/2018  16:43:07;5.224
22/06/2018  18:43:05;5.499
22/06/2018  20:43:03;5.614
22/06/2018  22:43:01;5.404
23/06/2018  00:42:59;5.506
23/06/2018  02:42:57;5.378
23/06/2018  04:42:55;5.555
23/06/2018  06:42:53;5.393
23/06/2018  08:42:51;5.443
23/06/2018  10:42:49;5.279
23/06/2018  12:42:47;5.404
23/06/2018  14:42:45;5.279
23/06/2018  16:42:43;5.232
23/06/2018  18:42:41;5.239
23/06/2018  20:42:39;5.394
23/06/2018  22:42:37;5.443
24/06/2018  00:42:35;5.490
24/06/2018  02:42:33;5.428
24/06/2018  04:42:31;5.532
24/06/2018  06:42:29;5.491
24/06/2018  08:42:27;5.339
24/06/2018  10:42:25;5.289
24/06/2018  12:42:23;5.354
24/06/2018  14:42:21;5.597
24/06/2018  16:42:19;5.441
24/06/2018  18:42:17;5.467
24/06/2018  20:42:15;5.597
24/06/2018  22:42:13;5.620
25/06/2018  00:42:11;5.425
25/06/2018  02:42:09;5.508
25/06/2018  04:42:07;5.499
25/06/2018  06:42:05;5.490
25/06/2018  08:42:03;5.440
25/06/2018  10:42:01;5.329
25/06/2018  12:41:59;5.550
25/06/2018  14:41:57;5.527
25/06/2018  16:41:55;5.508
25/06/2018  18:41:53;5.499
25/06/2018  20:41:51;5.425
25/06/2018  22:41:49;5.371
26/06/2018  00:41:47;5.427
26/06/2018  02:41:45;5.355
26/06/2018  04:41:43;5.404
26/06/2018  06:41:41;5.467
26/06/2018  08:41:39;5.247
26/06/2018  10:41:37;5.321
26/06/2018  12:41:35;5.629
26/06/2018  14:41:33;5.354
26/06/2018  16:41:31;5.354
26/06/2018  18:41:29;5.441
26/06/2018  20:41:27;5.387
26/06/2018  22:41:25;5.506
27/06/2018  00:41:23;5.459
27/06/2018  02:41:21;5.572
27/06/2018  04:41:19;5.404
27/06/2018  06:41:17;5.242
27/06/2018  08:41:15;5.289
27/06/2018  10:41:13;5.425
27/06/2018  12:41:11;5.508
27/06/2018  14:41:09;5.467
27/06/2018  16:41:07;5.490
27/06/2018  18:41:05;5.452
27/06/2018  20:41:03;5.485
27/06/2018  22:41:01;5.696
28/06/2018  00:40:59;5.427
28/06/2018  02:40:57;5.387
28/06/2018  04:40:55;5.590
28/06/2018  06:40:53;5.621
28/06/2018  08:40:51;5.410
28/06/2018  10:40:49;5.402
28/06/2018  12:40:47;5.417
28/06/2018  14:40:45;5.662
28/06/2018  16:40:43;5.652
28/06/2018  18:40:41;5.566
28/06/2018  20:40:39;5.612
28/06/2018  22:40:37;5.469
29/06/2018  00:40:35;5.659
29/06/2018  02:40:33;5.539
29/06/2018  04:40:31;5.589
29/06/2018  06:40:29;5.539
29/06/2018  08:40:27;5.418
29/06/2018  10:40:25;5.517
29/06/2018  12:40:23;5.485
29/06/2018  14:40:21;5.525
29/06/2018  16:40:19;5.564
29/06/2018  18:40:17;5.420
29/06/2018  20:40:15;5.571
29/06/2018  22:40:13;5.684
30/06/2018  00:40:11;5.483
30/06/2018  02:40:09;5.589
30/06/2018  04:40:07;5.621
30/06/2018  06:40:05;5.647
